stockId,product,manager,asset,finance,investment,speculation,main,mainInvestment,mainSpeculation,total
2010.0,3,2,3,6,8,10,18,22,24,32
2012.0,4,5,4,1,4,9,13,18,23,27
2013.0,2,3,2,6,5,10,15,18,23,28
2014.0,0,0,0,3,0,9,9,3,12,12
2015.0,5,8,8,9,8,8,16,38,38,46
2017.0,0,0,0,3,0,5,5,3,8,8
2020.0,5,7,6,4,10,8,18,32,30,40
2022.0,2,0,0,8,0,10,10,10,20,20
2023.0,2,0,0,1,0,10,10,3,13,13
2024.0,0,1,1,3,0,5,5,5,10,10
2025.0,0,0,0,10,10,4,14,20,14,24
2027.0,6,3,3,2,8,9,17,22,23,31
2028.0,3,8,6,3,6,9,15,26,29,35
2029.0,4,1,2,10,7,9,16,24,26,33
2030.0,2,4,3,1,3,10,13,13,20,23
2031.0,4,3,3,3,9,8,17,22,21,30
2032.0,0,1,2,6,0,9,9,9,18,18
2033.0,0,0,0,9,0,5,5,9,14,14
2034.0,3,5,5,4,0,9,9,17,26,26
2035.0,0,0,0,1,0,8,8,1,9,9
2038.0,1,0,0,4,3,10,13,8,15,18
2049.0,7,6,5,4,4,4,8,26,26,30
2059.0,10,9,10,5,1,1,2,35,35,36
2061.0,0,0,0,8,0,9,9,8,17,17
2062.0,3,2,1,3,6,10,16,15,19,25
2063.0,9,10,8,6,10,6,16,43,39,49
2064.0,0,0,0,8,0,9,9,8,17,17
2065.0,7,8,8,5,10,7,17,38,35,45
2066.0,7,8,6,2,10,7,17,33,30,40
2067.0,0,0,0,1,0,10,10,1,11,11
2069.0,0,0,0,5,0,10,10,5,15,15
2070.0,6,0,0,5,6,6,12,17,17,23
2073.0,2,1,1,2,1,1,2,7,7,8
2101.0,3,0,0,1,0,3,3,4,7,7
2102.0,0,0,0,1,0,1,1,1,2,2
2103.0,2,3,3,4,3,10,13,15,22,25
2104.0,0,2,2,4,0,8,8,8,16,16
2105.0,6,4,3,2,5,7,12,20,22,27
2106.0,2,2,2,1,0,9,9,7,16,16
2107.0,8,4,7,9,9,2,11,37,30,39
